Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_658.jpg;0;1;0;0.4581963;99.79057;85.66601;1.088081;32.63708;-0.001009609
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_707.jpg;0;1;0;0.4867057;99.81441;85.6812;1.04378;32.68454;-0.0004422481
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_748.jpg;0;1;0;0.5168494;99.83221;85.69251;1.049692;32.69371;-0.0008551712
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_797.jpg;0;1;0;0.5540742;99.85134;85.70476;1.077531;32.75037;-0.0004300578
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_839.jpg;0;1;0;0.6008471;99.87225;85.7181;1.135188;32.73362;-1.649174E-05
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_880.jpg;0;1;0;0.6295383;99.89378;85.73184;1.191253;32.69904;0.0003527915
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_921.jpg;0;1;0;0.6633111;99.91647;85.74625;1.246183;32.61295;-0.0001143793
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_964.jpg;0;1;0;0.6808714;99.93931;85.76069;1.252317;32.66182;-0.002596412
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_004.jpg;0;1;0;0.728725;99.96307;85.77578;1.231884;32.66497;-0.0008203993
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_047.jpg;0;1;0;0.7621493;100.0008;85.79969;1.191104;32.5857;-0.0006570674
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_089.jpg;0;1;0;0.7926491;100.0275;85.81663;1.179412;32.58634;-0.0003174576
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_137.jpg;0;1;0;0.851844;100.0563;85.83495;1.210541;32.61188;-0.0009529173
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_178.jpg;0;1;0;0.8756121;100.0858;85.8536;1.227714;32.6208;-0.00148121
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_220.jpg;0;1;0;0.9168431;100.1167;85.87318;1.24849;32.61044;-0.0008766067
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_262.jpg;0;1;0;0.9504029;100.1485;85.89339;1.258025;32.60302;-0.0009904027
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_303.jpg;0;1;0;0.983034;100.1813;85.91418;1.255021;32.59835;-0.001010897
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_352.jpg;0;1;0;1.0154;100.2322;85.94645;1.229121;32.5915;-0.0008816707
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_394.jpg;0;1;0;1.046578;100.2673;85.96867;1.205462;32.58743;-0.0003837495
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_435.jpg;0;1;0;1.086631;100.3038;85.99184;1.208678;32.58322;-0.0004244732
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_477.jpg;0;1;0;1.118398;100.3417;86.01585;1.227039;32.57716;-0.000791683
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_519.jpg;2.460594;1;0;1.14498;100.3802;86.04051;1.232697;32.61651;-0.001135088
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_567.jpg;4.41087;1;0;1.177202;100.4391;86.07944;1.226496;32.84634;-0.002440804
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_609.jpg;7.001388;1;0;1.21367;100.4792;86.1073;1.226981;33.13197;-0.0001536611
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_658.jpg;9.669478;1;0;1.242676;100.5195;86.13671;1.220355;33.58366;0.01146195
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_707.jpg;12.43563;1;0;1.28686;100.5806;86.1839;1.214689;34.51771;0.04243637
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_755.jpg;15;1;0;1.316791;100.6214;86.21741;1.199007;35.33159;0.06695271
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_796.jpg;15;1;0;1.361006;100.6622;86.25227;1.169378;36.21658;0.08529628
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_838.jpg;15;1;0;1.390952;100.7032;86.28865;1.138135;37.1215;0.1066052
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_887.jpg;15;1;0;1.420833;100.7654;86.34602;1.097392;38.50929;0.1446386
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_929.jpg;15;1;0;1.450657;100.8072;86.38615;1.074064;39.45485;0.1732162
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_28_977.jpg;15;1;0;1.480287;100.8492;86.42765;1.046865;40.41637;0.197962
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_29_027.jpg;15;1;0;1.525241;100.9124;86.49276;1.00226;41.8862;0.235594
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_29_068.jpg;15;1;0;1.5548;100.9546;86.53811;0.9732577;42.88284;0.2633233
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_29_109.jpg;15;1;0;1.584385;100.9969;86.58499;0.9413513;43.89442;0.290331
