Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_34_127.jpg;21.0;0.2;0;0.0;106.6774;84.5589;359.8367;90.5396;0.0034
../images_ouput\2022_12_22_16_25_34_154.jpg;21.0;0.2;0;0.0;106.6772;84.5588;359.8336;90.4613;0.0073
../images_ouput\2022_12_22_16_25_34_177.jpg;21.0;0.2;0;0.0;106.6772;84.5589;359.8331;90.4789;0.0094
../images_ouput\2022_12_22_16_25_34_190.jpg;21.0;0.2;0;0.0;106.6772;84.5589;359.8331;90.4789;0.0094
../images_ouput\2022_12_22_16_25_34_201.jpg;21.0;0.2;0;0.0;106.6772;84.5586;359.8274;90.478;0.008
../images_ouput\2022_12_22_16_25_34_274.jpg;21.0;0.2;0;0.0;106.6773;84.5588;359.8319;90.624;0.0086
../images_ouput\2022_12_22_16_25_34_287.jpg;21.0;0.2;0;0.0;106.6773;84.5588;359.8319;90.624;0.0086
../images_ouput\2022_12_22_16_25_34_299.jpg;21.0;0.2;0;0.0;106.6772;84.5587;359.8312;90.6675;0.01
../images_ouput\2022_12_22_16_25_34_371.jpg;21.0;0.2;0;0.0;106.677;84.5588;359.8333;90.5732;0.0117
../images_ouput\2022_12_22_16_25_34_384.jpg;21.0;0.2;0;0.0;106.677;84.5588;359.8333;90.5732;0.0117
../images_ouput\2022_12_22_16_25_34_398.jpg;21.0;0.2;0;0.0;106.677;84.5588;359.8333;90.5732;0.0117
../images_ouput\2022_12_22_16_25_34_450.jpg;21.0;0.2;0;0.0;106.677;84.5586;359.8344;91.1713;0.0063
../images_ouput\2022_12_22_16_25_34_469.jpg;21.0;0.2;0;0.0;106.677;84.5586;359.8344;91.1713;0.0063
../images_ouput\2022_12_22_16_25_34_482.jpg;21.0;0.2;0;0.0;106.677;84.5586;359.8344;91.1713;0.0063
../images_ouput\2022_12_22_16_25_34_540.jpg;21.0;0.2;0;-0.0146;106.6761;84.555;359.7622;93.1627;0.0282
../images_ouput\2022_12_22_16_25_34_553.jpg;21.0;0.2;0;-0.0146;106.6761;84.555;359.7622;93.1627;0.0282
../images_ouput\2022_12_22_16_25_34_564.jpg;21.0;0.2;0;-0.0146;106.6761;84.555;359.7622;93.1627;0.0282
../images_ouput\2022_12_22_16_25_34_620.jpg;21.0;0.2;0;-0.0725;106.6742;84.547;359.7071;95.3541;-0.0045
../images_ouput\2022_12_22_16_25_34_633.jpg;21.0;0.2;0;-0.0725;106.6742;84.547;359.7071;95.3541;-0.0045
../images_ouput\2022_12_22_16_25_34_648.jpg;21.0;0.2;0;-0.0725;106.6742;84.547;359.7071;95.3541;-0.0045
../images_ouput\2022_12_22_16_25_34_706.jpg;21.0;0.2;0;-0.1009;106.6741;84.5376;359.825;95.061;359.8377
../images_ouput\2022_12_22_16_25_34_720.jpg;21.0;0.2;0;-0.1009;106.6741;84.5376;359.825;95.061;359.8377
../images_ouput\2022_12_22_16_25_34_729.jpg;21.0;0.2;0;-0.1009;106.6741;84.5376;359.825;95.061;359.8377
